"","record_id","sobbs_1","sobbs_2","sobbs_3","sobbs_4","sobbs_5","sobbs_6","sobbs_7","sobbs_8","sobbs_9","sobbs_10","sobbs_11","sobbs_12","sobbs_13","sobbs_14","isos_1","isos_2","isos_3","isos_4","isos_5","isos_6","isos_7","isos_8","isos_9","isos_10","isos_11","isos_12","isos_13","isos_14","isos_15","mhi_1","mhi_5","mhi_4","mhi_3","mhi_2"
"448",544,1,5,2,5,1,4,5,5,1,1,3,5,2,5,2,1,4,2,1,2,2,3,1,3,1,2,2,2,2,6,6,1,1,2
"449",556,2,2,1,3,3,5,4,5,2,1,1,3,2,4,2,4,4,4,3,3,2,3,2,3,3,5,2,5,2,4,5,2,3,5
"450",560,4,5,4,4,4,5,5,5,4,5,4,5,4,4,3,5,5,5,5,5,3,5,5,4,5,5,5,5,5,2,3,3,4,4
"451",563,3,4,2,4,2,4,5,4,1,1,2,2,2,4,1,2,4,3,2,3,2,3,4,3,3,3,3,2,3,4,3,1,5,5
"452",573,1,4,1,2,1,3,4,4,1,1,1,4,1,4,3,3,4,4,4,4,4,4,3,3,4,2,3,2,3,5,5,2,2,2
"453",576,2,4,3,5,4,4,5,5,2,2,1,3,1,4,2,1,1,1,1,3,2,1,1,2,1,2,1,2,1,5,4,3,3,5
"454",578,2,5,2,5,2,4,4,4,2,4,2,5,2,4,3,3,4,3,3,3,3,3,3,3,3,3,3,2,2,4,4,3,3,5
"455",589,1,4,2,5,1,5,5,5,1,1,1,5,1,3,3,2,5,4,2,3,3,3,3,2,2,2,3,2,3,2,2,4,5,6
"456",594,2,3,3,1,2,2,2,2,3,1,2,2,2,2,2,3,4,4,2,3,1,2,3,3,3,2,2,2,2,5,6,1,1,1
"457",596,1,2,1,1,1,1,3,3,1,1,2,4,2,1,2,1,2,1,1,2,2,1,1,1,1,1,3,1,1,5,5,1,3,2
"458",600,1,3,1,3,1,4,3,2,1,1,2,3,1,2,2,2,4,3,2,2,2,2,2,2,2,3,2,3,2,3,3,4,4,5
"459",604,1,4,2,3,5,3,4,4,1,1,2,3,1,4,3,2,3,2,2,3,3,2,3,2,2,1,1,1,2,4,3,4,2,3
"460",608,3,5,3,5,2,5,5,5,2,2,2,5,2,5,4,4,5,4,4,3,5,4,3,4,3,3,3,3,3,4,5,2,3,4
"461",609,3,4,3,4,2,4,4,4,2,4,4,4,2,4,2,1,4,2,1,3,1,3,2,2,3,2,3,1,3,4,5,2,2,5
"462",612,2,1,3,4,2,3,4,2,2,2,2,4,1,3,3,2,3,3,3,2,1,2,2,2,2,2,3,1,2,3,5,4,4,5
"463",613,2,5,1,5,2,5,5,5,4,1,5,5,2,5,2,2,4,4,4,3,1,3,3,1,1,3,2,2,2,5,4,2,2,3
"464",615,3,4,4,4,2,2,5,4,4,5,2,4,4,1,1,2,4,3,1,1,2,2,1,1,1,1,1,1,1,2,3,3,5,5
"465",616,1,2,1,3,1,3,2,3,1,1,1,2,1,1,3,3,4,3,2,2,3,3,2,2,2,3,3,3,3,2,3,5,5,6
"466",618,2,4,3,4,3,4,4,4,2,4,3,4,4,4,1,4,4,4,3,4,1,3,3,3,3,2,2,1,2,3,4,2,4,5
"467",621,4,4,2,4,1,5,5,5,3,5,2,4,4,5,3,2,5,5,4,4,3,4,3,2,3,2,4,1,3,4,3,2,4,5
"468",630,2,4,1,4,2,4,4,3,2,2,2,4,2,2,1,2,2,2,2,3,1,2,2,1,2,1,1,1,1,4,4,3,3,4
"469",631,2,5,2,5,1,5,5,5,3,3,3,4,1,5,1,1,3,2,1,1,1,1,1,1,1,3,3,2,1,5,5,2,3,3
"470",634,4,4,5,4,3,5,5,5,2,5,4,5,5,5,2,2,4,4,3,3,1,2,3,1,3,2,2,1,3,5,5,3,2,3
"471",637,3,4,2,5,4,2,4,4,5,2,3,3,5,4,1,1,4,4,3,1,1,3,1,1,1,1,1,1,1,4,4,3,3,6
"472",639,3,4,4,4,4,5,5,5,4,4,4,4,5,5,1,1,2,3,3,3,1,3,1,2,2,2,2,2,2,6,6,2,1,1
"473",642,2,5,3,4,3,4,5,5,2,3,4,4,2,5,2,3,4,3,2,2,2,3,4,2,2,2,1,2,1,4,5,2,3,2
